Query: superfocus/fastq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database used: 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aligner used: diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subsystem 1,ENRIQ_10_S11_L001_microbial_1.fastq,ENRIQ_10_S11_L001_microbial_2.fastq,ENRIQ_11_S12_L001_microbial_1.fastq,ENRIQ_11_S12_L001_microbial_2.fastq,ENRIQ_12_S13_L001_microbial_1.fastq,ENRIQ_12_S13_L001_microbial_2.fastq,ENRIQ_13_S14_L001_microbial_1.fastq,ENRIQ_13_S14_L001_microbial_2.fastq,ENRIQ_14_S15_L001_microbial_1.fastq,ENRIQ_14_S15_L001_microbial_2.fastq,ENRIQ_15_S16_L001_microbial_1.fastq,ENRIQ_15_S16_L001_microbial_2.fastq,ENRIQ_16_S17_L001_microbial_1.fastq,ENRIQ_16_S17_L001_microbial_2.fastq,ENRIQ_17_S18_L001_microbial_1.fastq,ENRIQ_17_S18_L001_microbial_2.fastq,ENRIQ_18_S19_L001_microbial_1.fastq,ENRIQ_18_S19_L001_microbial_2.fastq,ENRIQ_19_S20_L001_microbial_1.fastq,ENRIQ_19_S20_L001_microbial_2.fastq,ENRIQ_1_S2_L001_microbial_1.fastq,ENRIQ_1_S2_L001_microbial_2.fastq,ENRIQ_20_S21_L001_microbial_1.fastq,ENRIQ_20_S21_L001_microbial_2.fastq,ENRIQ_21_S22_L001_microbial_1.fastq,ENRIQ_21_S22_L001_microbial_2.fastq,ENRIQ_22_S23_L001_microbial_1.fastq,ENRIQ_22_S23_L001_microbial_2.fastq,ENRIQ_23_S24_L001_microbial_1.fastq,ENRIQ_23_S24_L001_microbial_2.fastq,ENRIQ_24_S25_L001_microbial_1.fastq,ENRIQ_24_S25_L001_microbial_2.fastq,ENRIQ_25_S26_L001_microbial_1.fastq,ENRIQ_25_S26_L001_microbial_2.fastq,ENRIQ_26_S27_L001_microbial_1.fastq,ENRIQ_26_S27_L001_microbial_2.fastq,ENRIQ_27_S28_L001_microbial_1.fastq,ENRIQ_27_S28_L001_microbial_2.fastq,ENRIQ_28_S29_L001_microbial_1.fastq,ENRIQ_28_S29_L001_microbial_2.fastq,ENRIQ_29_S30_L001_microbial_1.fastq,ENRIQ_29_S30_L001_microbial_2.fastq,ENRIQ_2_S3_L001_microbial_1.fastq,ENRIQ_2_S3_L001_microbial_2.fastq,ENRIQ_30_S31_L001_microbial_1.fastq,ENRIQ_30_S31_L001_microbial_2.fastq,ENRIQ_31_S32_L001_microbial_1.fastq,ENRIQ_31_S32_L001_microbial_2.fastq,ENRIQ_32_S33_L001_microbial_1.fastq,ENRIQ_32_S33_L001_microbial_2.fastq,ENRIQ_33_S34_L001_microbial_1.fastq,ENRIQ_33_S34_L001_microbial_2.fastq,ENRIQ_34_S35_L001_microbial_1.fastq,ENRIQ_34_S35_L001_microbial_2.fastq,ENRIQ_35_S36_L001_microbial_1.fastq,ENRIQ_35_S36_L001_microbial_2.fastq,ENRIQ_36_S37_L001_microbial_1.fastq,ENRIQ_36_S37_L001_microbial_2.fastq,ENRIQ_37_S38_L001_microbial_1.fastq,ENRIQ_37_S38_L001_microbial_2.fastq,ENRIQ_38_S39_L001_microbial_1.fastq,ENRIQ_38_S39_L001_microbial_2.fastq,ENRIQ_39_S40_L001_microbial_1.fastq,ENRIQ_39_S40_L001_microbial_2.fastq,ENRIQ_3_S4_L001_microbial_1.fastq,ENRIQ_3_S4_L001_microbial_2.fastq,ENRIQ_40_S41_L001_microbial_1.fastq,ENRIQ_40_S41_L001_microbial_2.fastq,ENRIQ_41_S42_L001_microbial_1.fastq,ENRIQ_41_S42_L001_microbial_2.fastq,ENRIQ_42_S43_L001_microbial_1.fastq,ENRIQ_42_S43_L001_microbial_2.fastq,ENRIQ_43_S44_L001_microbial_1.fastq,ENRIQ_43_S44_L001_microbial_2.fastq,ENRIQ_44_S45_L001_microbial_1.fastq,ENRIQ_44_S45_L001_microbial_2.fastq,ENRIQ_45_S46_L001_microbial_1.fastq,ENRIQ_45_S46_L001_microbial_2.fastq,ENRIQ_46_S47_L001_microbial_1.fastq,ENRIQ_46_S47_L001_microbial_2.fastq,ENRIQ_47_S48_L001_microbial_1.fastq,ENRIQ_47_S48_L001_microbial_2.fastq,ENRIQ_48_S49_L001_microbial_1.fastq,ENRIQ_48_S49_L001_microbial_2.fastq,ENRIQ_49_S50_L001_microbial_1.fastq,ENRIQ_49_S50_L001_microbial_2.fastq,ENRIQ_4_S5_L001_microbial_1.fastq,ENRIQ_4_S5_L001_microbial_2.fastq,ENRIQ_50_S51_L001_microbial_1.fastq,ENRIQ_50_S51_L001_microbial_2.fastq,ENRIQ_51_S52_L001_microbial_1.fastq,ENRIQ_51_S52_L001_microbial_2.fastq,ENRIQ_52_S53_L001_microbial_1.fastq,ENRIQ_52_S53_L001_microbial_2.fastq,ENRIQ_53_S54_L001_microbial_1.fastq,ENRIQ_53_S54_L001_microbial_2.fastq,ENRIQ_54_S55_L001_microbial_1.fastq,ENRIQ_54_S55_L001_microbial_2.fastq,ENRIQ_55_S56_L001_microbial_1.fastq,ENRIQ_55_S56_L001_microbial_2.fastq,ENRIQ_56_S57_L001_microbial_1.fastq,ENRIQ_56_S57_L001_microbial_2.fastq,ENRIQ_57_S58_L001_microbial_1.fastq,ENRIQ_57_S58_L001_microbial_2.fastq,ENRIQ_58_S59_L001_microbial_1.fastq,ENRIQ_58_S59_L001_microbial_2.fastq,ENRIQ_59_S60_L001_microbial_1.fastq,ENRIQ_59_S60_L001_microbial_2.fastq,ENRIQ_5_S6_L001_microbial_1.fastq,ENRIQ_5_S6_L001_microbial_2.fastq,ENRIQ_60_S61_L001_microbial_1.fastq,ENRIQ_60_S61_L001_microbial_2.fastq,ENRIQ_61_S62_L001_microbial_1.fastq,ENRIQ_61_S62_L001_microbial_2.fastq,ENRIQ_62_S63_L001_microbial_1.fastq,ENRIQ_62_S63_L001_microbial_2.fastq,ENRIQ_6_S7_L001_microbial_1.fastq,ENRIQ_6_S7_L001_microbial_2.fastq,ENRIQ_7_S8_L001_microbial_1.fastq,ENRIQ_7_S8_L001_microbial_2.fastq,ENRIQ_8_S9_L001_microbial_1.fastq,ENRIQ_8_S9_L001_microbial_2.fastq,ENRIQ_9_S10_L001_microbial_1.fastq,ENRIQ_9_S10_L001_microbial_2.fastq,ENRIQ_10_S11_L001_microbial_1.fastq %,ENRIQ_10_S11_L001_microbial_2.fastq %,ENRIQ_11_S12_L001_microbial_1.fastq %,ENRIQ_11_S12_L001_microbial_2.fastq %,ENRIQ_12_S13_L001_microbial_1.fastq %,ENRIQ_12_S13_L001_microbial_2.fastq %,ENRIQ_13_S14_L001_microbial_1.fastq %,ENRIQ_13_S14_L001_microbial_2.fastq %,ENRIQ_14_S15_L001_microbial_1.fastq %,ENRIQ_14_S15_L001_microbial_2.fastq %,ENRIQ_15_S16_L001_microbial_1.fastq %,ENRIQ_15_S16_L001_microbial_2.fastq %,ENRIQ_16_S17_L001_microbial_1.fastq %,ENRIQ_16_S17_L001_microbial_2.fastq %,ENRIQ_17_S18_L001_microbial_1.fastq %,ENRIQ_17_S18_L001_microbial_2.fastq %,ENRIQ_18_S19_L001_microbial_1.fastq %,ENRIQ_18_S19_L001_microbial_2.fastq %,ENRIQ_19_S20_L001_microbial_1.fastq %,ENRIQ_19_S20_L001_microbial_2.fastq %,ENRIQ_1_S2_L001_microbial_1.fastq %,ENRIQ_1_S2_L001_microbial_2.fastq %,ENRIQ_20_S21_L001_microbial_1.fastq %,ENRIQ_20_S21_L001_microbial_2.fastq %,ENRIQ_21_S22_L001_microbial_1.fastq %,ENRIQ_21_S22_L001_microbial_2.fastq %,ENRIQ_22_S23_L001_microbial_1.fastq %,ENRIQ_22_S23_L001_microbial_2.fastq %,ENRIQ_23_S24_L001_microbial_1.fastq %,ENRIQ_23_S24_L001_microbial_2.fastq %,ENRIQ_24_S25_L001_microbial_1.fastq %,ENRIQ_24_S25_L001_microbial_2.fastq %,ENRIQ_25_S26_L001_microbial_1.fastq %,ENRIQ_25_S26_L001_microbial_2.fastq %,ENRIQ_26_S27_L001_microbial_1.fastq %,ENRIQ_26_S27_L001_microbial_2.fastq %,ENRIQ_27_S28_L001_microbial_1.fastq %,ENRIQ_27_S28_L001_microbial_2.fastq %,ENRIQ_28_S29_L001_microbial_1.fastq %,ENRIQ_28_S29_L001_microbial_2.fastq %,ENRIQ_29_S30_L001_microbial_1.fastq %,ENRIQ_29_S30_L001_microbial_2.fastq %,ENRIQ_2_S3_L001_microbial_1.fastq %,ENRIQ_2_S3_L001_microbial_2.fastq %,ENRIQ_30_S31_L001_microbial_1.fastq %,ENRIQ_30_S31_L001_microbial_2.fastq %,ENRIQ_31_S32_L001_microbial_1.fastq %,ENRIQ_31_S32_L001_microbial_2.fastq %,ENRIQ_32_S33_L001_microbial_1.fastq %,ENRIQ_32_S33_L001_microbial_2.fastq %,ENRIQ_33_S34_L001_microbial_1.fastq %,ENRIQ_33_S34_L001_microbial_2.fastq %,ENRIQ_34_S35_L001_microbial_1.fastq %,ENRIQ_34_S35_L001_microbial_2.fastq %,ENRIQ_35_S36_L001_microbial_1.fastq %,ENRIQ_35_S36_L001_microbial_2.fastq %,ENRIQ_36_S37_L001_microbial_1.fastq %,ENRIQ_36_S37_L001_microbial_2.fastq %,ENRIQ_37_S38_L001_microbial_1.fastq %,ENRIQ_37_S38_L001_microbial_2.fastq %,ENRIQ_38_S39_L001_microbial_1.fastq %,ENRIQ_38_S39_L001_microbial_2.fastq %,ENRIQ_39_S40_L001_microbial_1.fastq %,ENRIQ_39_S40_L001_microbial_2.fastq %,ENRIQ_3_S4_L001_microbial_1.fastq %,ENRIQ_3_S4_L001_microbial_2.fastq %,ENRIQ_40_S41_L001_microbial_1.fastq %,ENRIQ_40_S41_L001_microbial_2.fastq %,ENRIQ_41_S42_L001_microbial_1.fastq %,ENRIQ_41_S42_L001_microbial_2.fastq %,ENRIQ_42_S43_L001_microbial_1.fastq %,ENRIQ_42_S43_L001_microbial_2.fastq %,ENRIQ_43_S44_L001_microbial_1.fastq %,ENRIQ_43_S44_L001_microbial_2.fastq %,ENRIQ_44_S45_L001_microbial_1.fastq %,ENRIQ_44_S45_L001_microbial_2.fastq %,ENRIQ_45_S46_L001_microbial_1.fastq %,ENRIQ_45_S46_L001_microbial_2.fastq %,ENRIQ_46_S47_L001_microbial_1.fastq %,ENRIQ_46_S47_L001_microbial_2.fastq %,ENRIQ_47_S48_L001_microbial_1.fastq %,ENRIQ_47_S48_L001_microbial_2.fastq %,ENRIQ_48_S49_L001_microbial_1.fastq %,ENRIQ_48_S49_L001_microbial_2.fastq %,ENRIQ_49_S50_L001_microbial_1.fastq %,ENRIQ_49_S50_L001_microbial_2.fastq %,ENRIQ_4_S5_L001_microbial_1.fastq %,ENRIQ_4_S5_L001_microbial_2.fastq %,ENRIQ_50_S51_L001_microbial_1.fastq %,ENRIQ_50_S51_L001_microbial_2.fastq %,ENRIQ_51_S52_L001_microbial_1.fastq %,ENRIQ_51_S52_L001_microbial_2.fastq %,ENRIQ_52_S53_L001_microbial_1.fastq %,ENRIQ_52_S53_L001_microbial_2.fastq %,ENRIQ_53_S54_L001_microbial_1.fastq %,ENRIQ_53_S54_L001_microbial_2.fastq %,ENRIQ_54_S55_L001_microbial_1.fastq %,ENRIQ_54_S55_L001_microbial_2.fastq %,ENRIQ_55_S56_L001_microbial_1.fastq %,ENRIQ_55_S56_L001_microbial_2.fastq %,ENRIQ_56_S57_L001_microbial_1.fastq %,ENRIQ_56_S57_L001_microbial_2.fastq %,ENRIQ_57_S58_L001_microbial_1.fastq %,ENRIQ_57_S58_L001_microbial_2.fastq %,ENRIQ_58_S59_L001_microbial_1.fastq %,ENRIQ_58_S59_L001_microbial_2.fastq %,ENRIQ_59_S60_L001_microbial_1.fastq %,ENRIQ_59_S60_L001_microbial_2.fastq %,ENRIQ_5_S6_L001_microbial_1.fastq %,ENRIQ_5_S6_L001_microbial_2.fastq %,ENRIQ_60_S61_L001_microbial_1.fastq %,ENRIQ_60_S61_L001_microbial_2.fastq %,ENRIQ_61_S62_L001_microbial_1.fastq %,ENRIQ_61_S62_L001_microbial_2.fastq %,ENRIQ_62_S63_L001_microbial_1.fastq %,ENRIQ_62_S63_L001_microbial_2.fastq %,ENRIQ_6_S7_L001_microbial_1.fastq %,ENRIQ_6_S7_L001_microbial_2.fastq %,ENRIQ_7_S8_L001_microbial_1.fastq %,ENRIQ_7_S8_L001_microbial_2.fastq %,ENRIQ_8_S9_L001_microbial_1.fastq %,ENRIQ_8_S9_L001_microbial_2.fastq %,ENRIQ_9_S10_L001_microbial_1.fastq %,ENRIQ_9_S10_L001_microbial_2.fastq %
Amino Acids and Derivatives,40362.42076,40314.29711,27670.66302,27429.56977,45744.34351,45381.46353,44592.33825,44392.0221,19604.05621,19459.63455,41442.21399,41251.75545,25559.3718,25386.10877,27503.32195,27339.48932,43872.16024,43608.00939,38312.72999,38103.56929,32368.47254,32163.89935,47046.47837,47007.95336,28811.54723,28687.15505,22528.39753,22396.46415,26172.35453,25987.43715,31993.4981,31905.55194,58217.03409,57953.40335,9572.571709,9515.65285,67047.02123,66517.24254,38541.87692,38386.68718,31019.78122,30883.24216,18449.43687,18389.39282,23646.08875,23542.61719,23261.15104,23072.50492,47819.73833,47607.06182,45115.24766,44833.21935,58302.17323,58024.68758,40852.79635,40896.6768,82744.78318,82542.7445,29219.36662,29048.32709,10235.29355,10122.3124,34631.90145,34555.2523,22006.45823,21923.05545,64200.95131,63894.99672,63298.47179,62905.183,67718.55472,67325.23584,49339.44552,49112.25031,101125.5849,100567.869,29028.42738,28930.33432,33856.62824,33750.22445,46539.89809,46270.32496,50478.01584,50189.99122,25554.51862,25338.52084,23667.66138,23487.29471,59947.64433,59619.46078,49925.2974,49617.5775,34565.7262,34423.17231,48302.85589,47971.62541,75334.02368,75007.15481,35882.16618,35701.25848,44719.73648,44433.33356,40233.00323,40069.22053,47499.08754,47362.61793,53526.29998,52816.83706,21484.7938,21228.38171,22075.04043,22070.50429,24487.63832,24441.83582,19077.44984,18950.89654,24878.97757,24742.82421,20337.77342,20390.13028,20790.57659,20708.85945,65922.46385,65485.97222,8.76447447,8.799270359,8.878164161,8.855589882,8.875072708,8.873705998,8.453187314,8.447979847,8.529102241,8.522442805,8.488777957,8.504604754,8.68424118,8.690004028,8.48357376,8.481332135,8.681333428,8.682530491,8.691892,8.69743947,8.839135581,8.839976074,8.722551731,8.76150981,8.812272051,8.830022916,8.610851104,8.628560479,8.738040788,8.722255577,8.718453385,8.744385503,8.371901949,8.395977607,8.489106984,8.50348324,8.475313839,8.469703833,8.436717179,8.456446793,8.495939948,8.484010956,8.918803475,8.926933054,8.564723709,8.59238421,8.722462809,8.707229921,8.634340077,8.640386695,8.632927537,8.647232399,8.63609237,8.640540784,8.57470213,8.600140221,8.642393659,8.650583639,8.522318816,8.527298347,8.295613255,8.278994319,8.398075908,8.424144805,8.795054723,8.813005189,7.532493818,7.543736641,7.720643986,7.714546424,7.776716061,7.772625198,8.708369681,8.72043167,8.435251005,8.440222618,8.389621905,8.38497224,7.486992265,7.49901668,7.723977258,7.719337239,7.665349957,7.664360979,8.277571463,8.261232164,8.909239262,8.905270491,8.027150688,8.017528015,8.374985305,8.370883945,7.408904687,7.398234712,7.744578056,7.740180358,7.619433391,7.624499226,7.885965055,7.87688194,8.473787661,8.47645705,8.508312746,8.512561006,7.584975318,7.60984629,7.666569267,7.664578018,8.88476933,8.829633607,7.75556078,7.799123031,8.927515117,8.970369841,9.048092125,9.052730994,8.879197118,8.892427638,8.729744655,8.758496536,8.92460297,8.948140038,8.854107947,8.864357408
Arabinose Sensor and transport module,4,4.5,4,1,6,5.5,3.5,2,0,1,3.5,1.5,2,1,0,0,1,3,2,4,5,6,6,6,1,0.5,1,1,1,1,2,4,4,3,0,0.5,7,4,3.5,2,2.5,2,2,1,1,1,2,1,3.5,2,1,0,7,7.5,4,3,5.5,8.5,1,0,0,0,0.5,0,2,3,1,2,1,0,0.5,1.5,1,2,3,2,1,1,0,0,0,0,1,2,1,0,2,3,2.5,1.5,3.5,3.5,0,0,2,1,0,0,4,2,3,0,3,1,0,0,1,0,2,1,2,2,2,3.5,4,3,6,1,5.5,2.5,6,3,12.5,7.5,0.000868578,0.0009822,0.001283405,0.000322848,0.001164088,0.001075448,0.000663481,0.000380608,0,0.000437955,0.000716919,0.000309245,0.000679535,0.000342313,0,0,0.000197878,0.000597312,0.000453734,0.000913031,0.001365393,0.001649049,0.001112417,0.001118301,0.000305859,0.000153902,0.000382222,0.000385264,0.000333865,0.000335634,0.000545014,0.001096284,0.00057522,0.000434624,0,0.000446816,0.00088486,0.000509324,0.000766141,0.000440593,0.00068472,0.000549425,0.000966837,0.000485439,0.000362205,0.000364971,0.00074996,0.000377386,0.000631961,0.000362988,0.000191353,0,0.001036885,0.001116836,0.000839571,0.000630868,0.000574455,0.000890811,0.000291667,0,0,0,0.000121248,0,0.000799316,0.001205991,0.000117327,0.000236129,0.000121972,0,5.74E-05,0.000173173,0.000176499,0.000355122,0.000250241,0.000167851,0.000289014,0.000289833,0,0,0,0,0.000151855,0.000305414,0.000323918,0,0.000752862,0.001137458,0.000334757,0.000201718,0.000587126,0.000590478,0,0,0.000320668,0.000161349,0,0,0.000879096,0.000441266,0.00056846,0,0.000634428,0.000212446,0,0,0.00014323,0,0.000827075,0.000415935,0.000702654,0.000706746,0.000729145,0.001284531,0.001897128,0.001433082,0.002141373,0.000359394,0.002360809,0.001073865,0.002575572,0.001296277,0.001678887,0.00101522
Carbohydrates,78715.92104,78202.74509,53676.6061,53319.0798,87878.57724,87218.4732,95505.466,95073.93238,41342.65808,41128.90085,87940.17578,87330.45802,52396.15831,51855.38638,58155.46349,57920.84965,89917.27476,89323.73992,76613.95354,76129.44304,62860.29758,62370.20094,93603.48348,93053.06898,56736.15666,56298.46691,45543.91445,45200.45229,52176.61445,51871.89321,62996.64233,62526.42561,123632.5756,122623.8345,19984.08413,19822.33813,139857.4925,138816.4738,81246.64696,80756.25334,64367.89257,64237.893,35501.37684,35252.37168,48363.84665,47999.11569,45474.22443,45114.99574,94993.9727,94460.48563,89492.3055,88598.70244,115286.8905,114516.5741,82020.33397,81798.93271,163139.0556,162475.0316,59529.06025,59110.34637,21944.6993,21799.71493,73460.57554,73058.68214,43416.36767,43040.96608,155453.677,154407.5043,146329.3863,145594.0472,156308.7623,155631.7036,96663.52236,96132.57132,213083.8258,211857.5297,62772.86316,62638.98099,83213.51269,82859.99532,107825.3171,107341.4569,117055.9719,116426.4464,56382.86565,56047.21128,45015.49384,44754.57083,136738.077,136401.8845,106226.0086,105620.0907,83923.8189,83762.14863,111726.9182,111016.3162,179306.1225,178545.2186,82449.35499,82182.52308,95059.4615,94588.22414,84146.81841,83817.52355,114533.9906,113849.1631,124288.1894,122513.6968,41461.39207,41109.24589,52458.30872,52076.05199,45995.07629,45612.45935,34865.35963,34648.10209,48059.57972,47670.60206,40201.93001,40213.38961,39731.60545,39455.24116,127712.2339,126619.7164,17.09272306,17.06905853,17.22220101,17.2139741,17.04973124,17.05434397,18.10458086,18.09295064,17.98687751,18.01260471,18.01314539,18.00434964,17.80250623,17.75079122,17.93842085,17.96836647,17.79264661,17.78471676,17.38117357,17.37714432,17.16579898,17.14192294,17.35435372,17.34356249,17.35326616,17.32889693,17.40789,17.41412545,17.41996062,17.40994724,17.16702837,17.13667799,17.77898542,17.76508211,17.72219977,17.71385766,17.67917679,17.67563379,17.78468089,17.79030726,17.62958114,17.64694863,17.16203076,17.11288486,17.51761099,17.51830905,17.05191762,17.02574741,17.15212785,17.14399276,17.12460041,17.08852457,17.0770347,17.05282993,17.21546614,17.20145367,17.03928496,17.02758805,17.36264981,17.35217169,17.78598118,17.82988993,17.81384977,17.81080665,17.35169402,17.30234448,18.23888645,18.23005881,17.84809434,17.85531783,17.95030723,17.96751079,17.06102852,17.0694178,17.77409305,17.78027846,18.14223626,18.15485818,18.40168257,18.41079569,17.89518954,17.90791195,17.77555979,17.77912868,18.26343147,18.27332493,16.94522322,16.96881501,18.309596,18.34310335,17.8194484,17.81895785,17.98844242,18.00217685,17.91359585,17.9123868,18.13537881,18.14917369,18.12021964,18.13219084,18.01248745,18.04440394,17.79502871,17.80672978,18.28956169,18.29237211,17.80179114,17.77872057,17.14584315,17.09878709,18.43002748,18.40227713,16.76853168,16.74017585,16.53601443,16.55119308,17.15225155,17.13253813,17.25619498,17.27349599,17.05526552,17.04830843,17.15314991,17.13958552
Cell Division and Cell Cycle,5143.816697,5091.761214,3589.93199,3561.528419,5802.268362,5805.808442,5333.715365,5355.23196,2258.663492,2245.017857,4901.959377,4836.888345,3122.38373,3099.68373,3279.442063,3307.495055,5395.154401,5370.285964,4688.616983,4626.6529,4134.912338,4164.121739,5868.309291,5866.825463,3493.105231,3459.27031,2669.499131,2716.463167,3202.3386,3158.252417,3967.502656,3932.406746,7337.377867,7241.519023,1141.474206,1158.625,8258.153619,8212.254229,5213.423046,5185.996886,3883.100092,3887.936203,2375.637482,2366.438276,2943.495488,2930.353821,2799.455769,2772.432179,6028.862013,5957.186902,5702.199528,5652.818637,7329.154509,7298.249961,5187.071281,5168.682789,10465.10465,10464.10714,3691.355159,3637.511819,1129.326984,1120.555195,3789.640798,3802.477489,2790.078388,2768.910134,4504.136902,4499.262335,4515.260895,4487.250541,5238.841556,5220.618815,6369.570688,6240.879754,10564.81411,10474.28588,3157.367818,3151.060065,2484.449853,2457.762734,3128.538167,3091.137374,3788.4057,3752.509668,2652.031624,2619.705952,3084.997039,3061.963056,6403.014408,6372.037363,5426.222711,5377.635714,2499.713309,2491.259737,3371.244589,3323.261469,5077.957093,5059.437696,3322.483766,3299.17376,4734.655952,4687.561508,4588.334957,4557.348052,3359.904401,3337.598882,3845.291306,3811.134957,2690.619192,2692.809185,1995.003735,1983.768998,3197.294658,3144.951043,2492.833547,2487.197222,3163.028319,3135.088167,2503.515365,2495.16183,2684.331563,2675.450611,8418.656593,8379.755655,1.116951096,1.11136214,1.151833822,1.149833384,1.125725055,1.135244066,1.011090623,1.01912212,0.982672751,0.983216629,1.004088361,0.997189651,1.060884187,1.061063133,1.011564664,1.026060281,1.067582129,1.069245588,1.06369221,1.056069924,1.12915587,1.144473689,1.088001337,1.09347983,1.068397797,1.064777461,1.020341527,1.046556571,1.069149712,1.060015445,1.081172395,1.077758523,1.055151796,1.049112356,1.01227726,1.035383323,1.043900868,1.045674151,1.141204822,1.142456147,1.06353378,1.068064459,1.148427672,1.148762021,1.066147804,1.069495617,1.04973949,1.046275838,1.088572349,1.081192505,1.091131666,1.090290574,1.085641441,1.086793037,1.088728194,1.086919531,1.093042372,1.096651615,1.076645703,1.067811872,0.915309352,0.916497113,0.918970364,0.926997167,1.11507685,1.113093904,0.528456085,0.531203566,0.550735601,0.550306047,0.601622162,0.60271476,1.124223746,1.108138298,0.881249378,0.87906113,0.912523502,0.913281916,0.549406654,0.546094257,0.519226699,0.515698385,0.575289163,0.573034344,0.859041081,0.85411454,1.161288237,1.160951467,0.857380838,0.85690121,0.910250671,0.907250348,0.535794838,0.535422015,0.54052429,0.53620537,0.513594707,0.514293322,0.73019535,0.727907175,0.897153524,0.894236615,0.970322513,0.968192114,0.536532243,0.536258669,0.550760881,0.553057374,1.112672111,1.120034433,0.700898953,0.701010646,1.165645132,1.154224838,1.182306219,1.188119377,1.128870825,1.12673252,1.074603863,1.071786494,1.15228134,1.156041779,1.130717663,1.134306274
