file                           format  type   num_seqs      sum_len  min_len  avg_len  max_len
ENRIQ_33_S34_L001_R1.fastq.gz  FASTQ   DNA   1,966,837  216,382,087       35      110      151
ENRIQ_33_S34_L001_R2.fastq.gz  FASTQ   DNA   1,966,837  216,211,551       35    109.9      151
ENRIQ_34_S35_L001_R1.fastq.gz  FASTQ   DNA   2,639,107  286,728,700       35    108.6      151
ENRIQ_34_S35_L001_R2.fastq.gz  FASTQ   DNA   2,639,107  286,284,685       35    108.5      151
ENRIQ_35_S36_L001_R1.fastq.gz  FASTQ   DNA   1,911,004  204,224,332       35    106.9      151
ENRIQ_35_S36_L001_R2.fastq.gz  FASTQ   DNA   1,911,004  203,737,336       35    106.6      151
ENRIQ_36_S37_L001_R1.fastq.gz  FASTQ   DNA   3,905,852  409,797,873       35    104.9      151
ENRIQ_36_S37_L001_R2.fastq.gz  FASTQ   DNA   3,905,852  409,063,351       35    104.7      151
ENRIQ_37_S38_L001_R1.fastq.gz  FASTQ   DNA   1,231,249  138,623,943       35    112.6      151
ENRIQ_37_S38_L001_R2.fastq.gz  FASTQ   DNA   1,231,249  138,429,173       35    112.4      151
ENRIQ_38_S39_L001_R1.fastq.gz  FASTQ   DNA     425,458   46,447,061       35    109.2      151
ENRIQ_38_S39_L001_R2.fastq.gz  FASTQ   DNA     425,458   46,408,652       35    109.1      151
ENRIQ_39_S40_L001_R1.fastq.gz  FASTQ   DNA   1,417,101  154,855,137       35    109.3      151
ENRIQ_39_S40_L001_R2.fastq.gz  FASTQ   DNA   1,417,101  154,639,637       35    109.1      151
ENRIQ_3_S4_L001_R1.fastq.gz    FASTQ   DNA   1,094,726  115,747,728       35    105.7      151
ENRIQ_3_S4_L001_R2.fastq.gz    FASTQ   DNA   1,094,726  115,620,880       35    105.6      151
ENRIQ_40_S41_L001_R1.fastq.gz  FASTQ   DNA   1,986,469  237,850,086       35    119.7      151
ENRIQ_40_S41_L001_R2.fastq.gz  FASTQ   DNA   1,986,469  237,661,937       35    119.6      151
ENRIQ_41_S42_L001_R1.fastq.gz  FASTQ   DNA   2,169,077  244,498,387       35    112.7      151
ENRIQ_41_S42_L001_R2.fastq.gz  FASTQ   DNA   2,169,077  244,134,386       35    112.6      151
