feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Fusobacterium_nucleatum	treatment	B	-2.87596450859268	0.433571754763052	12	6	0.000163636674017024	0.0405000768192135
Fusobacterium_nucleatum	treatment	S	-2.87596450859268	0.433571754763052	12	6	0.000163636674017024	0.0405000768192135
Ruminococcaceae_unclassified_SGB4425	treatment	B	-0.390994513649349	0.0635460224252913	12	12	0.000273116605005089	0.0450642398258396
Streptococcus_salivarius	treatment	F	-0.621264743131426	0.113612347362229	12	12	0.000595656254796934	0.0737124615311206
