"ENRIQ_10_S11_L001"	"ENRIQ_11_S12_L001"	"ENRIQ_12_S13_L001"	"ENRIQ_13_S14_L001"	"ENRIQ_14_S15_L001"	"ENRIQ_15_S16_L001"	"ENRIQ_16_S17_L001"	"ENRIQ_17_S18_L001"	"ENRIQ_18_S19_L001"	"ENRIQ_19_S20_L001"	"ENRIQ_1_S2_L001"	"ENRIQ_20_S21_L001"	"ENRIQ_21_S22_L001"	"ENRIQ_22_S23_L001"	"ENRIQ_23_S24_L001"	"ENRIQ_24_S25_L001"	"ENRIQ_25_S26_L001"	"ENRIQ_26_S27_L001"	"ENRIQ_27_S28_L001"	"ENRIQ_28_S29_L001"	"ENRIQ_29_S30_L001"	"ENRIQ_2_S3_L001"	"ENRIQ_30_S31_L001"	"ENRIQ_31_S32_L001"	"ENRIQ_32_S33_L001"	"ENRIQ_33_S34_L001"	"ENRIQ_34_S35_L001"	"ENRIQ_35_S36_L001"	"ENRIQ_36_S37_L001"	"ENRIQ_3_S4_L001"	"ENRIQ_4_S5_L001"	"ENRIQ_5_S6_L001"	"ENRIQ_6_S7_L001"	"ENRIQ_7_S8_L001"	"ENRIQ_8_S9_L001"	"ENRIQ_9_S10_L001"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	2.48639	2.56351	2.66678	2.93832	3.37366	3.23772	4.16905	3.52844	3.85978	3.11369	2.67688	3.85651	3.5404	3.42837	3.20852	3.45393	2.52599	2.67847	2.99265	3.47225	2.48761	2.67626	3.12537	2.55301	2.91548	2.76737	3.05487	2.28987	2.51189	2.39256	2.64677	2.35247	2.58008	2.32559	2.5163	2.57621
"k__Bacteria|p__Firmicutes|c__Bacilli"	2.00089	1.61527	1.7829	2.20492	1.79225	1.9787	1.63561	1.39526	1.65253	13.47813	1.52937	9.73697	13.67024	9.96891	12.78033	15.02052	5.43837	5.95491	6.4777	9.2096	5.52692	1.40885	4.4375	15.4477	12.51536	15.94573	12.16989	14.2043	16.0673	1.76997	1.30474	1.45903	1.57459	1.28657	1.3762	1.48573
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia"	1.65269	1.72033	1.85908	5.23843	5.43161	4.74888	5.75363	5.33248	5.74858	5.28473	1.71003	4.99681	4.76893	5.22512	5.25068	4.9641	4.13856	5.08004	4.90028	5.47976	4.12919	1.74818	4.99018	4.10854	4.28798	4.02141	4.91316	4.13381	4.52612	1.26136	1.65432	1.57605	1.71563	1.41266	1.71912	1.76936
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae"	1.36562	1.27848	1.34902	1.16106	1.01303	1.08178	0.96143	1.08723	1.18987	0.94341	1.09968	1.0642	0.76961	1.06407	0.99804	1.0088	0.90504	0.638	0.8223	0.88236	0.94758	1.10433	0.88281	0.83945	0.85084	0.94019	0.83095	0.86868	0.8226	1.23693	1.31614	1.21655	1.17483	1.07449	1.29135	1.16937
"k__Archaea|p__Euryarchaeota|c__Methanobacteria"	0.21638	0.13631	0.14248	0.19891	0.27441	0.20888	0.16254	0.21477	0.22619	0.18778	0.14564	0.24033	0.22126	0.24553	0.16356	0.12813	0.26039	0.08589	0.30783	0.2224	0.30454	0.08315	0.22816	0.23115	0.25628	0.17336	0.26713	0.28031	0.23525	0.14251	0.10147	0.06148	0.15323	0.12686	0.05303	0.15187
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria"	0.12852	0.04648	0.07778	0.03263	0	0.07076	0.01018	0	0.01774	0.00613	0.043	0.02966	0	0	0	0.00761	0	0	0.00987	0	0	0	0	0	0	0	0.00391	0	0.01104	0.01167	0	0	0	0	0	0.12079
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.10417	0.12826	0.10826	0.3254	0.39648	0.61299	0.45505	0.66592	0.54161	0.39966	0	0.19804	0.25452	0.31313	0.22688	0.16218	0.06616	0	0.10536	0.19973	0.47822	0	0.07337	0	0.01811	0	0.02632	0.02057	0.08351	0	0.13156	0.0578	0.03082	0	0	0
"k__Bacteria|p__Firmicutes|c__CFGB1340"	0.03499	0.03867	0.04294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01805	0.03367	0	0	0.06265
"k__Bacteria|p__Firmicutes|c__CFGB42691"	0.02661	0.0018	0.05128	0.0114	0	0	0	0	0.02242	0	0	0	0	0	0	0.00153	0	0	0	0	0	0	0	0	0	0	0	0	0.00637	0	0	0	0	0	0	0.02664
"k__Bacteria|p__Firmicutes|c__CFGB1217"	0.02503	0	0.01454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00632	0	0	0	0	0	0	0.01946
