"ENRIQ_10_S11_L001"	"ENRIQ_11_S12_L001"	"ENRIQ_12_S13_L001"	"ENRIQ_13_S14_L001"	"ENRIQ_14_S15_L001"	"ENRIQ_15_S16_L001"	"ENRIQ_16_S17_L001"	"ENRIQ_17_S18_L001"	"ENRIQ_18_S19_L001"	"ENRIQ_19_S20_L001"	"ENRIQ_1_S2_L001"	"ENRIQ_20_S21_L001"	"ENRIQ_21_S22_L001"	"ENRIQ_22_S23_L001"	"ENRIQ_23_S24_L001"	"ENRIQ_24_S25_L001"	"ENRIQ_25_S26_L001"	"ENRIQ_26_S27_L001"	"ENRIQ_27_S28_L001"	"ENRIQ_28_S29_L001"	"ENRIQ_29_S30_L001"	"ENRIQ_2_S3_L001"	"ENRIQ_30_S31_L001"	"ENRIQ_31_S32_L001"	"ENRIQ_32_S33_L001"	"ENRIQ_33_S34_L001"	"ENRIQ_34_S35_L001"	"ENRIQ_35_S36_L001"	"ENRIQ_36_S37_L001"	"ENRIQ_3_S4_L001"	"ENRIQ_4_S5_L001"	"ENRIQ_5_S6_L001"	"ENRIQ_6_S7_L001"	"ENRIQ_7_S8_L001"	"ENRIQ_8_S9_L001"	"ENRIQ_9_S10_L001"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale"	4.46561	4.69312	4.31763	2.25186	2.83073	2.57963	2.98716	2.43027	2.08233	2.63895	4.97187	2.2327	2.2791	2.96329	2.67012	2.32912	3.52207	3.92229	3.09328	2.70013	3.95314	5.2003	3.26158	3.48744	3.33818	3.12676	3.27821	3.56315	3.25819	4.56679	4.5784	5.01557	4.69632	5.20541	4.80819	4.19873
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis"	4.06636	4.32341	4.10503	10.23018	13.95976	14.06163	14.52643	12.51828	13.7364	10.60269	4.46973	11.98908	10.90168	11.53332	11.33165	12.21527	8.28745	12.48319	10.60254	11.45167	9.8571	5.15562	12.15636	10.16124	8.79553	8.82891	8.20474	9.00248	8.68649	5.34842	4.91789	4.25864	4.51238	4.32475	4.52809	3.95452
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii"	3.95592	4.49671	4.68455	2.85642	2.78218	2.50868	2.71244	3.25924	3.04568	2.55589	4.96371	3.02994	2.95268	2.49884	2.73768	3.00433	3.33671	4.57966	3.82839	3.56411	3.36946	4.98782	3.74669	4.00315	3.13637	3.52249	3.39886	3.38829	3.49393	4.60741	4.98839	4.53817	4.53225	4.87307	5.29967	4.39601
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis"	3.58254	3.68395	3.51301	2.746	2.26286	2.34734	2.13726	2.12362	2.25646	1.75345	3.42068	1.97613	1.7489	2.02863	1.8993	2.04207	1.69645	1.9816	1.61437	1.60486	1.77715	3.64276	1.66815	1.71334	1.7485	1.608	1.50146	1.57626	1.3843	3.04638	3.77324	3.83633	3.4328	3.6773	3.72739	3.08688
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis"	2.9149	3.19077	2.70758	2.13809	2.36391	2.00689	2.23885	2.07344	2.00857	2.4591	2.9311	2.19834	2.24462	2.49519	2.60265	1.95285	0.57169	0.34294	0.6644	0.40347	0.62005	3.32735	0.37766	1.06866	0.75905	0.61504	0.69645	0.78373	0.92401	3.2217	3.14197	3.20736	3.15702	3.18478	3.30442	2.78112
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus"	2.25904	2.43581	2.30507	0.46673	0.37737	0.3365	0.5674	0.37563	0.45056	0.49592	2.15656	0.49081	0.47659	0.47381	0.48661	0.4025	1.92716	1.73873	1.47052	1.69139	1.9525	2.48054	1.96758	2.05783	2.09731	1.78479	2.16633	2.12525	1.76025	2.03887	2.48377	2.80738	2.28552	2.36968	2.59647	2.38172
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii"	2.24251	2.17141	2.02957	1.55836	1.54988	1.68669	1.74124	1.60599	1.67542	1.37201	2.27256	1.49139	1.36881	1.44209	1.47903	1.37098	1.0757	1.06234	0.98623	0.96452	1.05369	1.89991	0.99906	0.98857	1.18726	1.0157	1.17443	1.05389	0.96342	2.45486	2.41148	2.01236	2.3126	2.33288	2.29583	1.96457
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens"	2.14145	2.30191	2.313	2.52519	3.23966	2.9401	3.94842	3.32618	3.3114	2.83072	2.46288	3.28004	3.26581	3.17481	3.05418	3.30428	2.14601	2.67847	2.5362	3.18603	2.25247	2.52943	2.93576	2.44126	2.51998	2.45273	2.60785	2.09055	2.12139	2.24459	2.52182	2.24452	2.31139	2.26017	2.31409	2.19708
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum"	2.03512	2.10163	2.12063	8.43842	9.77586	10.16884	9.72951	9.40042	9.76619	7.14226	2.36027	7.59258	7.59265	7.29137	7.57142	7.38875	6.54869	8.36727	6.98305	8.5965	7.24337	2.36667	8.27383	5.67532	5.29813	5.38807	4.78713	4.87032	4.65023	2.10774	2.1778	2.3561	1.98534	2.24847	2.18713	1.99859
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_unclassified_SGB4425"	1.9539	2.06263	1.86394	0.10491	0	0.03702	0.04541	0.03453	0.05055	0.01428	1.50459	0.0487	0.03382	0.02902	0.06779	0.01663	0.07802	0	0.06454	0.03941	0.00646	1.45237	0.0086	0.00411	0.04386	0.06799	0.07837	0.04764	0.07082	1.52587	2.10714	1.96177	1.87542	1.99429	2.0805	1.8079
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_massiliensis"	1.87708	2.34544	2.20073	1.54498	1.53346	1.52523	1.55332	1.62246	1.58428	1.42039	2.4754	1.44665	1.51084	1.39044	1.6169	1.30395	1.31517	2.07443	1.51863	1.22999	1.29554	2.97813	1.43811	1.32586	1.50498	1.43864	1.22566	1.41559	1.28084	2.75622	2.38267	2.4696	2.45983	2.54839	2.49528	2.43495
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibiobacter|s__Candidatus_Cibiobacter_qucibialis"	1.79334	1.87679	1.88193	0.98282	0.91786	1.05222	1.00077	1.1898	1.0132	1.04824	2.01197	1.03559	0.97494	0.82165	0.77204	0.98905	1.69515	1.80791	1.86391	1.49992	1.77309	2.15276	1.5717	2.01302	1.57543	1.57818	1.62011	1.77964	1.6644	2.11621	1.7727	1.96911	1.96983	1.85287	2.07738	1.69309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_JE7A12"	1.70572	1.73062	1.87025	1.0072	0.86059	0.58914	0.98579	0.8324	0.97439	1.06925	1.84212	0.86754	0.91145	1.00446	0.8539	0.85858	2.05524	2.38736	1.97686	1.88613	2.21371	1.9864	2.10186	1.98683	1.89399	1.83744	2.15482	2.19926	1.89496	1.66899	1.97983	1.89691	1.62977	1.96388	1.96126	1.78064
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena"	1.59804	1.74584	1.52567	1.19178	1.36425	0.98869	1.10904	1.13054	1.16616	1.18004	1.79281	1.07223	1.01384	1.06274	0.9798	0.96854	1.20669	1.11335	1.10764	1.03742	1.04543	1.66482	0.97339	1.19641	1.24687	1.20733	1.31395	1.38694	1.19288	1.64592	1.6907	1.49355	2.04594	1.61316	1.71691	1.42851
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_hominis"	1.42785	1.26007	1.09951	0.92695	1.14771	0.98778	0.95493	0.80837	0.90418	0.7689	1.39559	0.812	0.92188	1.00879	0.7864	0.72194	0.69602	0.65916	0.72669	0.62244	0.70625	1.43146	0.76794	0.52888	0.69542	0.62763	0.66304	0.604	0.57982	1.63507	1.12422	1.19919	1.33493	1.15263	1.21909	1.05366
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius"	1.40659	1.16423	1.41433	1.14247	1.19348	1.06176	1.0577	0.97111	1.05522	12.76331	1.16691	8.75448	12.96799	9.10292	12.20837	14.12317	0.83584	1.09983	0.93553	0.5883	0.86322	1.08819	0.91901	12.64382	9.18368	13.03824	8.8606	11.06375	12.9134	1.2068	1.01062	0.78107	0.80683	1.28657	1.16664	1.21745
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila"	1.36562	1.27848	1.34902	1.16106	1.01303	1.08178	0.96143	1.08723	1.18987	0.94341	1.09968	1.0642	0.76961	1.06407	0.99804	1.0088	0.90504	0.638	0.8223	0.88236	0.94758	1.10433	0.88281	0.83945	0.85084	0.94019	0.83095	0.86868	0.8226	1.23693	1.31614	1.21655	1.17483	1.07449	1.29135	1.16937
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	1.32882	1.40652	1.38139	1.32427	1.13515	1.16569	1.1855	1.30147	1.09451	1.1116	1.40523	1.23275	1.16696	1.06698	1.18172	1.2325	2.17371	2.68649	2.17062	2.06144	2.4049	1.4146	2.3006	1.97035	2.29545	2.2453	2.17373	2.09342	1.98293	1.55149	1.41028	1.21123	1.28838	1.36171	1.3184	1.33382
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans"	1.31422	1.67101	1.47329	0.02629	0	0.03689	0	0	0.07761	0.05064	1.29305	0.08994	0.00654	0	0	0	0.22167	0	0.1995	0.14536	0.16476	1.31822	0.1494	0.16629	0.15964	0.19427	0.23514	0.22114	0.2099	1.26982	1.48684	1.73066	1.52387	1.76495	1.576	1.55625
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium"	1.27677	1.18435	1.24136	0.68883	0.43042	0.64731	0.52546	0.65265	0.65376	0.53865	1.13991	0.63336	0.40624	0.31151	0.34958	0.54202	0.42632	0.02325	0.54714	0.41114	0.37108	0.83758	0.31926	0.22601	0.43621	0.32599	0.43208	0.34736	0.52969	0.84321	1.0977	0.89289	0.9776	0.97483	0.99549	1.31624
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_sp_AM22_15"	1.17599	1.29666	1.23767	4.8361	5.14458	4.40309	5.40527	4.99333	5.30277	5.03087	1.20893	4.64535	4.49535	4.91654	4.91367	4.62872	3.69654	4.81581	4.44627	4.94781	3.73098	1.36963	4.52334	3.81854	3.90235	3.73078	4.45614	3.81132	4.14211	0.9093	1.25612	1.26507	1.29938	1.15484	1.23775	1.14457
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum"	1.13652	1.23947	1.24589	5.23915	6.52641	5.66895	7.07569	6.02583	6.49584	4.86585	1.24906	5.52301	4.96038	4.73569	5.04237	4.90188	6.85383	7.65591	4.60092	5.56645	6.49341	1.17479	6.58251	4.77331	5.02715	4.39046	4.35062	4.9122	3.86579	1.26972	1.26563	1.16126	1.14881	0.94361	1.49221	1.16371
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans"	1.02165	1.03605	0.98424	0.52366	0.35557	0.41413	0.41424	0.42958	0.36615	0.41187	1.21466	0.36489	0.42505	0.43677	0.47398	0.40998	0.29756	0.10708	0.3114	0.21608	0.24954	0.95524	0.195	0.28803	0.29225	0.29257	0.23603	0.26798	0.32583	0.97999	1.03203	1.15411	0.98217	1.15464	1.03412	1.00645
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A"	0.98688	1.23336	1.20414	0.41419	0.38154	0.31157	0.31425	0.42079	0.38923	0.51108	1.1151	0.34908	0.31499	0.64007	0.55969	0.3996	0.64379	0.52682	0.57865	0.64633	0.72203	1.23752	0.63515	0.83198	0.78538	0.74628	0.6703	0.83838	0.72759	1.1174	1.27252	1.44912	1.13349	1.23037	1.32952	1.2763
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques"	0.9304	0.67492	0.93842	0.38701	0.42428	0.47055	0.61577	0.41995	0.44539	0.53336	0.79907	0.61081	0.60454	0.54561	0.53361	0.46523	0.60376	0.03045	0.59996	0.57625	0.61456	0.8571	0.69229	0.48145	0.57346	0.53419	0.67759	0.55949	0.6156	0.63036	1.04934	0.83166	0.63946	0.90036	0.90088	0.93182
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF15_49"	0.77936	0.70872	0.56388	0.30126	0.36442	0.2699	0.31325	0.23469	0.29885	0.23029	0.6598	0.31065	0.2702	0.3009	0.21946	0.19019	0.51313	0.13365	0.3617	0.38299	0.43985	0.65408	0.46191	0.37846	0.50303	0.35502	0.4222	0.45103	0.37026	0.71602	0.72406	0.61971	0.8177	0.55839	0.56243	0.60638
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis"	0.77444	0.78051	0.70389	1.23721	0.85058	0.88291	0.89596	1.06667	0.80635	0.71781	0.81382	0.73648	0.83201	0.69812	0.86913	0.66903	0.86614	0.54805	0.52629	0.5916	0.76544	0.77181	0.65003	0.53348	0.50366	0.56214	0.49464	0.58385	0.51524	0.82931	0.65582	0.72795	0.76392	0.79334	0.78663	0.72899
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum"	0.76215	0.80005	0.82542	0.67477	0.57268	0.5684	0.53274	0.5954	0.63114	0.47909	0.76148	0.59108	0.46428	0.44829	0.44857	0.53099	0.31634	0.24239	0.36492	0.35778	0.32815	0.81654	0.41833	0.27321	0.33505	0.34524	0.29733	0.38114	0.36096	0.65058	0.81576	0.74788	0.54315	0.81329	0.49597	0.63846
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium"	0.74904	0.82956	0.87126	0.15325	0	0.01975	0.12274	0	0.32904	0.04008	0.78032	0.23349	0.01329	0.01829	0.00524	0.02552	0.32432	0	0.37558	0.42709	0.36194	0.54738	0.25071	0.28321	0.58113	0.47705	0.61387	0.36844	0.54832	0.6038	0.73663	0.7066	0.68718	0.63502	0.58028	0.89765
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_dorei"	0.71192	0.53553	0.49047	0.52496	0.51999	0.51583	0.42629	0.53004	0.57453	0.56968	0.62368	0.46507	0.54196	0.63218	0.47677	0.38386	0.44515	0.25404	0.3779	0.44911	0.44966	0.53179	0.49257	0.32778	0.42079	0.43145	0.53411	0.49293	0.35713	0.78339	0.73933	0.67708	0.7451	0.69432	0.53478	0.62774
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346"	0.69472	0.63467	0.69582	0.06414	0	0.09368	0.03987	0.00592	0.10718	0.07618	0.69579	0.08137	0.05473	0	0.02639	0.10104	0.12952	0	0.11727	0.06661	0.0762	0.68192	0.0188	0	0.11075	0.138	0.12709	0.18226	0.12148	0.65503	0.61964	0.68548	0.63292	0.56578	0.62585	0.70663
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_succinatiphilus"	0.68143	0.74047	0.78633	0.56086	0.55025	0.39178	0.5725	0.57317	0.5036	0.55078	0.88191	0.49641	0.47429	0.34424	0.43427	0.46444	0.56955	0.57514	0.72049	0.55019	0.5711	0.86627	0.54793	0.60495	0.55746	0.71696	0.61189	0.66932	0.64251	0.50406	0.74582	0.64228	0.70742	0.77435	0.96508	0.73335
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas_funiformis"	0.6549	0.67518	0.55517	0.37216	0.31042	0.29963	0.37081	0.30452	0.39297	0.34155	0.67785	0.30675	0.25577	0.28581	0.24458	0.31091	0.27815	0.01609	0.27734	0.34604	0.33614	0.55025	0.33803	0.19241	0.32038	0.23618	0.31823	0.2752	0.26594	0.75351	0.61068	0.63687	0.71148	0.72141	0.64041	0.62656
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_sp_BL7"	0.63763	0.4017	0.41109	0.14913	0.20185	0.2096	0.01522	0.04383	0.21861	0.07985	0.49616	0.14734	0.12224	0.12281	0.1628	0.05135	0.15395	0	0.19559	0.10959	0.05228	0.69178	0.03879	0.03131	0.13999	0.09099	0.12681	0.06974	0.12644	0.59991	0.61464	0.73789	0.50657	0.53329	0.34708	0.48909
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes"	0.63086	0.60682	0.6901	0.44728	0.42028	0.22535	0.51542	0.43761	0.48442	0.44801	0.63043	0.46324	0.45237	0.47769	0.36615	0.38802	0.38851	0.20614	0.37369	0.41737	0.40904	0.51965	0.38425	0.30108	0.4004	0.44512	0.46347	0.34669	0.33	0.42021	0.71757	0.53398	0.55582	0.57935	0.51416	0.63751
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus"	0.59164	0.6078	0.49481	0.30698	0.27897	0.2612	0.20786	0.22942	0.25999	0.21467	0.5831	0.24142	0.28377	0.1555	0.25206	0.20906	0.25678	0	0.28298	0.22869	0.22028	0.48364	0.2556	0.29251	0.25613	0.31277	0.28169	0.2571	0.24524	0.59915	0.60399	0.51286	0.49187	0.57234	0.5341	0.61531
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis"	0.51944	0.51166	0.57385	0.31936	0.17656	0.28131	0.29753	0.24442	0.24362	0.28912	0.46161	0.34597	0.31679	0.20628	0.2313	0.2488	0.33337	0.08596	0.39992	0.32424	0.31863	0.37715	0.26517	0.3672	0.3582	0.29436	0.34864	0.28517	0.26707	0.42778	0.48594	0.42866	0.39726	0.3422	0.52306	0.56996
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii"	0.50174	0.37114	0.34034	0.21853	0.20152	0.18902	0.22541	0.25391	0.22708	0.21921	0.33024	0.26221	0.16834	0.21229	0.1361	0.21376	0.34482	0	0.21028	0.23705	0.21389	0.38696	0.11075	0.12973	0.20661	0.20868	0.24572	0.25111	0.2345	0.48356	0.30112	0.36475	0.42048	0.31122	0.30785	0.33817
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	0.48334	0.5608	0.53498	0.54931	0.37517	0.3963	0.2952	0.33232	0.4124	0.50837	0.61114	0.30109	0.55485	0.29861	0.32382	0.46851	0.47014	0.40423	0.47473	0.50569	0.60052	0.40023	0.67151	0.40824	0.40992	0.41415	0.6231	0.46929	0.42687	0.54704	0.52827	0.48951	0.65716	0.34169	0.30299	0.55029
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_timonensis"	0.46704	0.41945	0.46017	0.37879	0.40563	0.38285	0.34291	0.2893	0.56456	0.52418	0.5866	0.40912	0.32586	0.3122	0.30239	0.35394	0.48541	0.25268	0.58895	0.48395	0.52447	0.40951	0.50492	0.4968	0.44234	0.43177	0.49364	0.41315	0.58002	0.61554	0.36625	0.50781	0.57289	0.48297	0.28386	0.46998
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_C"	0.46036	0.36813	0.39543	0.09072	0	0.06409	0.04254	0	0.0926	0.12671	0.37577	0.10639	0	0.01801	0.06485	0.08268	0.12667	0	0.12248	0.12399	0.08343	0.5514	0.11971	0.10357	0.15209	0.12445	0.1323	0.14002	0.16201	0.59961	0.40188	0.3568	0.54888	0.37689	0.27021	0.45583
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum"	0.45528	0.36869	0.38067	1.15218	1.30598	1.27503	1.49372	1.55233	1.65764	1.21064	0.56899	1.65619	1.87093	1.30405	1.54807	1.66989	1.32788	1.71948	1.5082	1.33472	0.92282	0.37794	1.38837	1.46911	1.68574	1.44802	1.33393	1.19414	1.43255	0.33947	0.30075	0.29128	0.29086	0.321	0.32928	0.27929
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus"	0.44763	0.40255	0.21348	0.21246	0	0.1307	0.16147	0	0	0	0.26082	0.21518	0	0.0615	0	0.16915	0.06283	0	0.37727	0.03024	0.19152	0.32066	0.11314	0	0.31953	0.18903	0.16074	0	0.11926	0.53871	0.29412	0.67795	0.70649	0	0.20955	0.11472
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus"	0.44073	0.38897	0.39794	0.2898	0.17422	0.24598	0.24649	0.29831	0.25315	0.2958	0.4589	0.31968	0.2208	0.27707	0.28616	0.19703	0.36966	0.01207	0.4087	0.30372	0.4248	0.39286	0.38134	0.31076	0.42412	0.35233	0.45065	0.43147	0.38288	0.47188	0.40409	0.39544	0.53996	0.47776	0.32778	0.45485
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified|s__Acidaminococcaceae_unclassified_SGB5785"	0.40095	0.3704	0.33888	0.15701	0.13742	0.15231	0.15933	0.18411	0.11896	0.13868	0.32405	0.22724	0.1775	0.14698	0.12538	0.10221	0.12178	0	0.16639	0.218	0.12481	0.30801	0.17949	0.0562	0.21509	0.16667	0.17145	0.13145	0.14167	0.36559	0.35461	0.35558	0.52996	0.32126	0.31775	0.33806
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus"	0.3892	0.44005	0.4875	0.32657	0.30265	0.33481	0.30237	0.36254	0.27649	0.25993	0.40251	0.24459	0.2744	0.21158	0.28245	0.27364	0.40421	0.04072	0.32324	0.29133	0.39835	0.38998	0.29379	0.27426	0.35955	0.25716	0.36545	0.29651	0.3188	0.42673	0.4565	0.29159	0.43589	0.36211	0.38519	0.41661
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_SGB15299"	0.38714	0.36431	0.37332	0.1219	0.02006	0.13362	0.06321	0.14122	0.17964	0.15592	0.42409	0.17478	0.1013	0.12032	0.08287	0.14812	0.23066	0	0.24285	0.19708	0.19161	0.3309	0.16591	0.08403	0.282	0.21018	0.22546	0.21186	0.23019	0.34459	0.26557	0.26538	0.42042	0.28076	0.31126	0.37952
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified|s__Clostridiales_bacterium_KLE1615"	0.38476	0.4231	0.45567	0.17604	0.11866	0.20043	0.18313	0.18803	0.18867	0.13506	0.46282	0.15797	0.16644	0.10765	0.17401	0.17858	0.18649	0	0.16879	0.12467	0.13208	0.37955	0.1419	0.05839	0.13857	0.17871	0.13998	0.13563	0.12436	0.41416	0.36027	0.34516	0.388	0.46589	0.32159	0.50143
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii"	0.37675	0.34814	0.45158	0.58431	0.43689	0.5003	0.43802	0.56737	0.45424	0.55669	0.34549	0.51208	0.49543	0.55009	0.61759	0.57241	1.29644	0.85056	1.01355	1.02614	1.29609	0.32697	0.98592	1.03197	1.06177	1.0038	1.06029	1.16709	0.99802	0.30957	0.35876	0.26514	0.2545	0.28402	0.34814	0.4108
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens"	0.36147	0.69235	0.48169	0.56345	0.33388	0.37596	0.29905	0.35206	0.30281	0.30491	0.113	0.33319	0.43882	0.72707	0.56305	0.35077	0.55728	0.591	0.37642	0.59882	0.51223	0.64378	0.41491	0.25977	0.32981	0.39407	0.50305	0.42153	0.32471	0.21766	0.30612	0.35674	0.20524	0.38901	0.4864	0.39431
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis"	0.35666	0.2766	0.2889	0.22685	0.17292	0.23531	0.26832	0.22191	0.23856	0.32772	0.23258	0.29093	0.27818	0.35829	0.25286	0.22338	0.0172	0	0.04304	0	0	0.24348	0	0	0.00362	0.0058	0.04342	0.03699	0.05869	0.31248	0.31106	0.32042	0.41503	0.26543	0.27375	0.31943
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans"	0.32063	0.36853	0.42014	0.2015	0.04493	0.1889	0.18441	0.16277	0.23613	0.20844	0.33798	0.20779	0.14801	0.13555	0.12376	0.22486	0.22945	0	0.31049	0.22378	0.1889	0.25122	0.23758	0.24484	0.25865	0.29258	0.25859	0.27168	0.28051	0.17781	0.2391	0.44125	0.29371	0.30705	0.42788	0.42851
