"","dbp","dmn","absolute","relative","simpson","core_abundance","gini","sample_name","sample","treatment","replicate","timepoint","treatment_replicate","exp_group","dominant_species"
"26",0.065191222816928,0.130382445633856,0.065191222816928,0.065191222816928,0.0222080480216384,0.847491396621989,0.871801441556283,"ENRIQ_33_S34_L001","ENRIQ_33","S",3,"T_24","S_3","S_T_24","Streptococcus_salivarius"
"27",0.0443030110757528,0.0886060221515056,0.0443030110757528,0.0443030110757528,0.0176161283037556,0.811729952932488,0.849815633254693,"ENRIQ_34_S35_L001","ENRIQ_34","FS",1,"T_24","FS_1","FS_T_24","Streptococcus_salivarius"
"28",0.0553187776593888,0.110637555318778,0.0553187776593888,0.0553187776593888,0.0204549044301743,0.84019482009741,0.871119267395571,"ENRIQ_35_S36_L001","ENRIQ_35","FS",2,"T_24","FS_2","FS_T_24","Streptococcus_salivarius"
"29",0.0645670032283502,0.1291340064567,0.0645670032283502,0.0645670032283502,0.0209825939225068,0.8183339909167,0.850367234022272,"ENRIQ_36_S37_L001","ENRIQ_36","FS",3,"T_24","FS_3","FS_T_24","Streptococcus_salivarius"
"30",0.0447462477626876,0.0894924955253752,0.0447462477626876,0.0447462477626876,0.0171934036873371,0.804767509761624,0.858079427896811,"ENRIQ_3_S4_L001","ENRIQ_3","B",3,"T_0","B_3","B_T_0","Bacteroides_uniformis"
"31",0.0379355905161024,0.0758711810322047,0.0379355905161024,0.0379355905161024,0.0162894021280204,0.804680048829988,0.856024854060195,"ENRIQ_4_S5_L001","ENRIQ_4","F",1,"T_0","F_1","F_T_0","Phocaeicola_vulgatus"
"32",0.0391058960894104,0.0782117921788208,0.0391058960894104,0.0391058960894104,0.0169807877718623,0.804436269556373,0.861089516234799,"ENRIQ_5_S6_L001","ENRIQ_5","F",2,"T_0","F_2","F_T_0","Bacteroides_uniformis"
"33",0.0425384957461504,0.0850769914923008,0.0425384957461504,0.0425384957461504,0.0163758587151781,0.787267621273238,0.850895050262061,"ENRIQ_6_S7_L001","ENRIQ_6","F",3,"T_0","F_3","F_T_0","Bacteroides_uniformis"
"34",0.0427821914435617,0.0855643828871234,0.0427821914435617,0.0427821914435617,0.0181526861054498,0.823457335308533,0.869674138955798,"ENRIQ_7_S8_L001","ENRIQ_7","S",1,"T_0","S_1","S_T_0","Phocaeicola_vulgatus"
"35",0.0397059321323305,0.0794118642646611,0.0397059321323305,0.0397059321323305,0.0172520250728214,0.817130382291328,0.865088247331379,"ENRIQ_8_S9_L001","ENRIQ_8","S",2,"T_0","S_2","S_T_0","Phocaeicola_vulgatus"
"36",0.0331407516570376,0.0662815033140752,0.0331407516570376,0.0331407516570376,0.0133075605029285,0.732359786617989,0.799585294569113,"ENRIQ_9_S10_L001","ENRIQ_9","S",3,"T_0","S_3","S_T_0","Bacteroides_uniformis"
